articleType,category_match_rate,avg_similarity,category_diversity,color_diversity,n_recommendations
Tshirts,1.0,0.8622661113739014,0.05,0.35,20
Shirts,1.0,0.8882246851921082,0.05,0.3,20
Casual Shoes,0.75,0.8488213747739792,0.1,0.25,20
Watches,1.0,0.8749041706323624,0.05,0.3,20
Sports Shoes,0.85,0.8743420124053956,0.1,0.25,20
Kurtas,0.95,0.8635193139314652,0.1,0.35,20
Tops,0.5,0.7879100769758225,0.15,0.4,20
Handbags,1.0,0.8097446680068969,0.05,0.2,20
Heels,0.65,0.7647327989339828,0.2,0.55,20
Sunglasses,1.0,0.9589746206998825,0.05,0.3,20
Wallets,1.0,0.8994943499565125,0.05,0.1,20
Flip Flops,0.95,0.7596154004335404,0.1,0.3,20
Sandals,0.8,0.7926273137331009,0.15,0.25,20
Briefs,1.0,0.7732309967279434,0.05,0.35,20
Belts,1.0,0.8806667238473892,0.05,0.1,20
Backpacks,1.0,0.8688816875219345,0.05,0.3,20
Socks,1.0,0.8919534385204315,0.05,0.3,20
Formal Shoes,0.95,0.922220665216446,0.1,0.1,20
Jeans,1.0,0.9302644520998001,0.05,0.15,20
Shorts,0.9,0.8312325000762939,0.1,0.3,20
Trousers,1.0,0.9335892200469971,0.05,0.25,20
Flats,0.35,0.7911417156457901,0.2,0.4,20
Bra,1.0,0.9188528031110763,0.05,0.45,20
Dresses,0.95,0.7259248942136765,0.1,0.3,20
Sarees,1.0,0.8557713091373443,0.05,0.3,20
Earrings,0.9,0.8148247927427292,0.1,0.1,20
Track Pants,0.55,0.8945359349250793,0.1,0.2,20
Clutches,0.6,0.6668028473854065,0.1,0.45,20
Sweatshirts,0.4,0.8765242218971252,0.2,0.4,20
Caps,1.0,0.7660658121109009,0.05,0.45,20
Sweaters,0.55,0.8314590483903885,0.15,0.45,20
Jackets,0.5,0.8425414144992829,0.2,0.3,20
Ties,1.0,0.8570948719978333,0.05,0.5,20
Innerwear Vests,1.0,0.8587001174688339,0.05,0.4,20
Kurtis,0.3,0.8246089935302734,0.15,0.5,20
Tunics,0.0,0.8017340749502182,0.15,0.55,20
Nightdress,0.95,0.8231230854988099,0.1,0.4,20
Leggings,0.8,0.811987680196762,0.15,0.5,20
Pendant,0.95,0.841954505443573,0.1,0.1,20
Capris,0.1,0.7490936815738678,0.3,0.4,20
Necklace and Chains,0.95,0.857700651884079,0.1,0.55,20
Night suits,1.0,0.7982836276292801,0.05,0.4,20
Trunk,0.9,0.8819399148225784,0.1,0.25,20
Skirts,0.65,0.7553224861621857,0.1,0.1,20
Ring,1.0,0.7933838397264481,0.05,0.1,20
Scarves,0.7,0.7109804064035415,0.15,0.45,20
Dupatta,0.8,0.8071263253688812,0.1,0.6,20
Cufflinks,1.0,0.7113653719425201,0.05,0.2,20
Accessory Gift Set,1.0,0.9251431971788406,0.05,0.3,20
Kurta Sets,1.0,0.8161587327718735,0.05,0.55,20
Stoles,0.85,0.85468490421772,0.15,0.6,20
Duffel Bag,0.75,0.8070188790559769,0.2,0.3,20
Bangle,0.45,0.7604412734508514,0.1,0.15,20
Laptop Bag,0.8,0.8154527902603149,0.2,0.1,20
Sports Sandals,0.35,0.7981210768222808,0.25,0.3,20
Bracelet,0.85,0.8321664243936538,0.15,0.15,20
Lounge Pants,0.2,0.8478052496910096,0.3,0.25,20
Jewellery Set,0.65,0.8983714252710342,0.15,0.15,20
Boxers,0.95,0.9325407385826111,0.1,0.35,20
Mobile Pouch,0.3,0.6981857150793076,0.3,0.45,20
Messenger Bag,0.25,0.7564246505498886,0.2,0.45,20
Suspenders,1.0,0.8997676819562912,0.05,0.35,20
Camisoles,0.45,0.8404042452573777,0.2,0.35,20
Mufflers,0.7,0.8116026997566224,0.1,0.45,20
Patiala,0.7,0.843064957857132,0.1,0.6,20
Jeggings,0.2,0.8874216228723526,0.2,0.2,20
Lounge Shorts,0.45,0.8638256281614304,0.1,0.4,20
Salwar,0.7,0.7779427289962768,0.15,0.6,20
Stockings,0.75,0.7697608858346939,0.2,0.3,20
Churidar,0.5,0.9221955984830856,0.1,0.7,20
Tracksuits,0.95,0.889586654305458,0.1,0.3,20
Gloves,0.65,0.6789750158786774,0.15,0.3,20
Bath Robe,0.55,0.8164191901683807,0.25,0.35,20
Waist Pouch,0.25,0.6998387426137924,0.3,0.4,20
Swimwear,0.45,0.729761415719986,0.3,0.25,20
Jumpsuit,0.15,0.751855593919754,0.35,0.7,20
Travel Accessory,0.35,0.7018704563379288,0.35,0.6,20
Waistcoat,0.2,0.7707228899002075,0.1,0.45,20
Baby Dolls,0.25,0.812204048037529,0.2,0.2,20
Booties,0.6,0.77848801612854,0.25,0.25,20
Rompers,0.6,0.8547756463289261,0.15,0.25,20
Rucksacks,0.45,0.8319968670606613,0.1,0.35,20
Water Bottle,0.55,0.6665886580944062,0.3,0.4,20
