cluster_id,purity,dominant_category,size
0,0.9206349206349206,Belts,189
1,0.5472222222222223,Kurtas,720
2,0.6818181818181818,Wallets,308
3,0.5155601659751037,Sports Shoes,964
4,0.7079037800687286,Shirts,873
5,0.20140515222482436,Earrings,427
6,0.9306197964847364,Tshirts,1081
7,0.9510869565217391,Socks,184
8,0.4711111111111111,Briefs,225
9,0.9981308411214953,Watches,535
10,0.4144542772861357,Casual Shoes,678
11,0.9836065573770492,Sunglasses,244
12,0.20175438596491227,Briefs,456
13,0.24736842105263157,Jeans,570
14,0.9396551724137931,Handbags,348
15,0.6042780748663101,Sarees,187
16,0.8264840182648402,Tshirts,438
17,0.6337448559670782,Backpacks,243
18,0.39781591263650545,Heels,641
19,0.43541364296081275,Tops,689
