color,match_rate,color_diversity,avg_similarity,avg_sim_match,avg_sim_nonmatch,n_recommendations
Black,0.9,0.15,0.4561244174838066,0.4541285385688146,0.47408732771873474,20
White,1.0,0.05,0.6869636803865433,0.6869636803865433,0.0,20
Blue,0.95,0.1,0.6445660680532456,0.6448116427973697,0.6399001479148865,20
Brown,0.9,0.15,0.5865149706602096,0.5858631796307034,0.592381089925766,20
Grey,0.15,0.25,0.5291831821203232,0.5403645435969034,0.5272100006832796,20
Red,0.95,0.1,0.6164007663726807,0.6158125306430616,0.6275772452354431,20
Green,0.85,0.1,0.6949378162622452,0.695313176688026,0.6928107738494873,20
Navy Blue,0.2,0.35,0.7356031835079193,0.7475569546222687,0.732614740729332,20
Pink,0.7,0.35,0.4923931837081909,0.4968144233737673,0.482076957821846,20
Purple,0.55,0.2,0.6360139578580857,0.6377554590051825,0.6338854564560784,20
Silver,0.4,0.25,0.7229336053133011,0.7254626005887985,0.7212476084629694,20
Yellow,0.8,0.15,0.7329985290765763,0.7315795011818409,0.7386746406555176,20
Beige,0.15,0.4,0.47808922827243805,0.473580002784729,0.4788849739467396,20
Gold,0.7,0.25,0.6855317205190659,0.6864962407520839,0.6832811733086904,20
Maroon,0.3,0.25,0.4577858313918114,0.4620594084262848,0.45595429837703705,20
Orange,0.25,0.25,0.4304851993918419,0.44104827642440797,0.4269641737143199,20
Olive,0.3,0.3,0.41719635725021365,0.42996032536029816,0.41172608520303455,20
Multi,0.4,0.5,0.6331817090511322,0.6405551433563232,0.6282660861810049,20
Cream,0.2,0.25,0.64399633705616,0.6324377655982971,0.6468859799206257,20
Steel,0.1,0.3,0.7482197374105454,0.7558069825172424,0.7473767101764679,20
Charcoal,0.15,0.3,0.7139863342046737,0.7111814419428507,0.7144813151920543,20
Off White,0.25,0.3,0.7802174776792526,0.7838820934295654,0.778995939095815,20
Peach,0.15,0.35,0.5830487728118896,0.613418698310852,0.5776893741944257,20
Grey Melange,0.35,0.4,0.573425629734993,0.5693653566496713,0.5756119306270893,20
Khaki,0.2,0.25,0.7647553324699402,0.7733176499605179,0.7626147530972958,20
Lavender,0.2,0.55,0.7282899796962738,0.7312217950820923,0.7275570258498192,20
Teal,0.15,0.4,0.5171147227287293,0.5339021782080332,0.5141522305853227,20
Magenta,0.2,0.25,0.7014225214719773,0.7098360806703568,0.6993191316723824,20
Tan,0.05,0.15,0.7662758678197861,0.7751985192298889,0.7658062545876754,20
Mustard,0.2,0.4,0.6700664281845092,0.6863393634557724,0.6659981943666935,20
Bronze,0.15,0.45,0.7067396879196167,0.7287724216779073,0.7028515584328595,20
Copper,0.15,0.25,0.7106915473937988,0.7110845843950907,0.7106221879229826,20
Turquoise Blue,0.15,0.3,0.47671495378017426,0.4792414605617523,0.4762690996422487,20
Rust,0.15,0.4,0.6566254019737243,0.6542308727900187,0.6570479659473195,20
Skin,0.2,0.35,0.9081446975469589,0.9072722345590591,0.9083628132939339,20
Metallic,0.2,0.25,0.9139174818992615,0.9135785698890686,0.9140022099018097,20
Burgundy,0.1,0.5,0.6166957825422287,0.64381343126297,0.6136827104621463,20
Coffee Brown,0.05,0.35,0.6521750867366791,0.6806472539901733,0.6506765516180741,20
Sea Green,0.15,0.35,0.7306178331375122,0.7343605955441793,0.7299573456539827,20
Nude,0.15,0.35,0.8993491768836975,0.9095509052276611,0.8975488718818215,20
Mushroom Brown,0.15,0.35,0.8204807609319686,0.8356392780939738,0.8178057284916148,20
Taupe,0.1,0.5,0.6599692136049271,0.6658368408679962,0.6593172550201416,20
Rose,0.1,0.5,0.8895270645618438,0.9009960889816284,0.8882527285152011,20
Mauve,0.1,0.5,0.5173639237880707,0.5306284427642822,0.5158900883462694,20
