query_idx,item_diversity,category_diversity,color_diversity,n_recommendations
33920,1.0,0.25,0.15,20
21147,1.0,0.05,0.25,20
33017,1.0,0.1,0.5,20
35533,1.0,0.3,0.35,20
37391,1.0,0.1,0.1,20
32738,1.0,0.05,0.1,20
37877,1.0,0.05,0.4,20
22313,1.0,0.05,0.05,20
1570,1.0,0.1,0.3,20
21322,1.0,0.1,0.25,20
1788,1.0,0.1,0.3,20
19373,1.0,0.15,0.2,20
31028,1.0,0.05,0.2,20
27686,1.0,0.05,0.25,20
40935,1.0,0.05,0.5,20
22228,1.0,0.15,0.3,20
15454,1.0,0.05,0.4,20
4031,1.0,0.05,0.45,20
35450,1.0,0.1,0.45,20
37580,1.0,0.05,0.5,20
13922,1.0,0.15,0.55,20
32588,1.0,0.05,0.55,20
17969,1.0,0.05,0.3,20
564,1.0,0.1,0.4,20
8689,1.0,0.15,0.2,20
17454,1.0,0.05,0.25,20
22860,1.0,0.05,0.25,20
32117,1.0,0.1,0.15,20
4467,1.0,0.1,0.4,20
33177,1.0,0.05,0.5,20
34688,1.0,0.05,0.25,20
24324,1.0,0.05,0.25,20
24455,1.0,0.35,0.45,20
31545,1.0,0.1,0.4,20
25795,1.0,0.15,0.25,20
18945,1.0,0.2,0.5,20
29197,1.0,0.15,0.1,20
17461,1.0,0.05,0.2,20
1098,1.0,0.2,0.5,20
15110,1.0,0.05,0.25,20
1145,1.0,0.05,0.2,20
35680,1.0,0.05,0.1,20
17154,1.0,0.05,0.2,20
24606,1.0,0.05,0.3,20
11463,1.0,0.05,0.2,20
2118,1.0,0.1,0.45,20
6560,1.0,0.2,0.45,20
22574,1.0,0.05,0.5,20
13039,1.0,0.1,0.3,20
1770,1.0,0.2,0.4,20
